True
0 747   A 541   a 541
1 770   B 532   b 536
2 755   C 593   c 532
3 789   D 548   d 530
4 811   E 563   e 534
5 764   F 498   f 502
6 755   G 553   g 478
7 708   H 569   h 542
8 504   I 568   i 522
9 543   J 539   j 534
        K 508   k 502
        L 581   l 510
        M 551   m 546
        N 544   n 501
        O 532   o 506
        P 521   p 525
        Q 525   q 557
        R 550   r 545
        S 525   s 548
        T 552   t 520
        U 536   u 473
        V 534   v 528
        W 543   w 512
        X 517   x 525
        Y 549   y 521
        Z 561   z 521
